country_group,traveller_type_Couple,traveller_type_Family,traveller_type_Solo,user_gender_Male,user_gender_Other,age,diff_cleanliness,diff_comfort,diff_facilities,diff_overall_vs_star,diff_location,diff_staff,diff_value_for_money
North_America,False,False,True,False,False,2,-0.5,-0.10000000000000142,-0.40000000000000036,3.6999999999999993,-0.5,0.20000000000000107,0.6999999999999993
East_Asia,True,False,False,False,False,3,0.40000000000000036,0.09999999999999964,-0.3000000000000007,4.1,0.09999999999999964,-0.09999999999999964,0.40000000000000036
Africa,True,False,False,False,False,5,0.8999999999999986,0.10000000000000142,-0.29999999999999893,3.8000000000000007,-0.40000000000000036,-0.5999999999999996,0.1999999999999993
Western_Europe,False,False,False,False,False,3,-0.1999999999999993,-0.29999999999999893,-0.40000000000000036,3.9000000000000004,-0.09999999999999964,0.09999999999999964,-0.5
Eastern_Europe,False,True,False,True,False,4,-0.1999999999999993,0.1999999999999993,0.3000000000000007,4.1,-0.6999999999999993,0.3000000000000007,0.3000000000000007
Oceania,False,False,True,True,False,2,-0.7000000000000011,-0.3000000000000007,-0.40000000000000036,3.6999999999999993,-0.3000000000000007,0.09999999999999964,0.40000000000000036
South_America,False,False,False,True,False,2,-0.8000000000000007,0.1999999999999993,-0.09999999999999964,3.9000000000000004,0.5999999999999996,0.3999999999999986,-0.5
Southeast_Asia,False,False,False,False,False,2,-1.0999999999999996,-0.40000000000000036,-0.09999999999999964,3.8000000000000007,-0.3999999999999986,0.40000000000000036,-0.9000000000000004
South_Asia,False,False,True,True,False,3,-0.5,-0.40000000000000036,-0.5999999999999996,3.8000000000000007,-0.09999999999999964,0.6999999999999993,0.3000000000000007
Africa,True,False,False,False,False,3,0.40000000000000036,0.0,-0.8000000000000007,3.8000000000000007,-0.1999999999999993,-0.8999999999999986,0.09999999999999964
South_Asia,True,False,False,True,False,2,0.7999999999999989,0.09999999999999964,-0.3999999999999986,3.9000000000000004,0.0,0.09999999999999964,-0.40000000000000036
Africa,False,False,False,True,False,2,-0.10000000000000142,-0.1999999999999993,0.0,3.6999999999999993,0.7000000000000011,0.10000000000000142,-1.1000000000000005
Africa,False,False,False,True,False,4,-0.20000000000000107,0.10000000000000142,0.3000000000000007,3.6999999999999993,-0.09999999999999964,0.3000000000000007,-0.8000000000000007
Western_Europe,False,True,False,True,False,3,0.09999999999999964,-0.29999999999999893,0.09999999999999964,4.1,-0.40000000000000036,0.5,0.20000000000000107
Oceania,False,False,True,True,False,1,-0.6000000000000014,-0.7999999999999989,0.09999999999999964,4.1,0.40000000000000036,0.5999999999999996,0.0
North_America,False,False,True,False,False,5,-0.29999999999999893,0.09999999999999964,-0.5,3.6999999999999993,-0.5999999999999996,0.09999999999999964,0.40000000000000036
North_America,False,False,False,True,False,2,-0.7999999999999989,-0.20000000000000107,0.1999999999999993,3.8000000000000007,0.0,0.5,-0.5
